Entity,InteractionMode,FieldName,FieldType,Description,Required,InResp
Ad Set,Reading,frequency_cap_reset_period,unsigned int32,Frequency cap reset period,,
Ad Set,Reading,bid_info,"map<string, unsigned int32>",,,
Ad Set,Updating,promoted_object,Object,"The object this ad set is promoting across all its ads.
       Required with certain campaign objectives.CONVERSIONS
       pixel_id (Conversion pixel ID)
       pixel_id (Facebook pixel ID) and custom_event_type
       pixel_id (Facebook pixel ID) and pixel_rule and custom_event_type
       PAGE_LIKESpage_idOFFER_CLAIMSoffer_idMOBILE_APP_INSTALLSapplication_id and object_store_urlMOBILE_APP_ENGAGEMENTapplication_id and object_store_url
       or application_id, object_store_url, and custom_event_type
       if the optimization_goal is OFFSITE_CONVERSIONSCANVAS_APP_INSTALLS or CANVAS_APP_ENGAGEMENTapplication_id and object_store_urlPRODUCT_CATALOG_SALESproduct_set_id, 
       or product_set_id and custom_event_type",,
Ad Set,Creating,bid_amount,integer,Bid amount for this adset,,
Ad Set,Reading,daily_budget,numeric string,The daily budget of the set defined in your account currency.,,
Ad Set,Creating,adset_schedule,list&lt,Object&gt,"Ad set schedule, representing a delivery schedule for a single day",
Ad Set,Reading,promoted_object,AdPromotedObject,The object this ad set is promoting across all its ads.,,
Ad Set,Creating,optimization_goal,OptGoal,What the ad set is optimizing for. APP_INSTALLS: Will optimize for people more likely to install your app. CLICKS: Deprecated ENGAGED_USER: Will optimize for people more likely to take a particular action in your app EXTERNAL: FBX only EVENT_RESPONSES: Will optimize for people more likely to attend your event. IMPRESSIONS: Will show the ads as many times as possible LINK_CLICKS: Will optimize for people more likely to click in the link of the ad. OFFER_CLAIMS: Will optimize for people more likely to claim the offer. OFFSITE_CONVERSION: Will optimize for people more likely to make a conversion in the site PAGE_LIKES: Will optimize for people more likely to like your page.PAGE_ENGAGEMENT: Will optimize for people more likely to engage with your page. POST_ENGAGEMENT: Will optimize for people more likely toengage with your post. REACH: Will optimize to reach daily unique users. SOCIAL_IMPRESSIONS: Increase the number of impressions with social context. I.e. with the names of one or more of the user's friends attached to the ad who have already liked the page or installed the app. VIDEO_VIEWS: Will optimize for people more likely to watch videos.LEAD_GENERATION: Will optimize for people more likely to fill out a lead generation form.,,
Ad Set,Updating,optimization_goal,OptGoal,What the ad set is optimizing for. APP_INSTALLS: Will optimize for people more likely to install your app. CLICKS: Deprecated ENGAGED_USER: Will optimize for people more likely to take a particular action in your app EXTERNAL: FBX only EVENT_RESPONSES: Will optimize for people more likely to attend your event. IMPRESSIONS: Will show the ads as many times as possible LINK_CLICKS: Will optimize for people more likely to click in the link of the ad. OFFER_CLAIMS: Will optimize for people more likely to claim the offer. OFFSITE_CONVERSION: Will optimize for people more likely to make a conversion in the site PAGE_LIKES: Will optimize for people more likely to like your page.PAGE_ENGAGEMENT: Will optimize for people more likely to engage with your page. POST_ENGAGEMENT: Will optimize for people more likely toengage with your post. REACH: Will optimize to reach daily unique users. SOCIAL_IMPRESSIONS: Increase the number of impressions with social context. I.e. with the names of one or more of the user's friends attached to the ad who have already liked the page or installed the app. VIDEO_VIEWS: Will optimize for people more likely to watch videos.LEAD_GENERATION: Will optimize for people more likely to fill out a lead generation form.,,
Ad Set,Updating,execution_options,list<ExecOption>, the API call will not perform the mutation but will run through the validation rules against values of each field. If the call passes validation or review," response will be {""""success"""": true}. If the call does not pass", an error will be returned with more details. These options can be used to improve any UI to display errors to the user much sooner
Ad Set,Reading,budget_remaining,numeric string,Remaining budget,,
Ad Set,Reading,adset_schedule,list&lt,DayPart&gt,"Ad set schedule, representing a delivery schedule for a single day",
Ad Set,Reading,lifetime_imps,unsigned int32,Lifetime impressions. Available only for campaigns with buying_type=FIXED_CPM,,
Ad Set,Reading,optimization_goal,OptGoal,Which optimization goal this ad set is using:NONE: Only available in read mode for campaigns created pre v2.4APP_INSTALLS: Optimize for people more likely to install your app.CLICKS: Optimize for people more likely to click anywhere in the ad. ENGAGED_USER: Optimize for people more likely to take a particular action in your app EXTERNAL: FBX only EVENT_RESPONSES: Optimize for people more likely to attend your event IMPRESSIONS: Show the ads as many times as possible LINK_CLICKS: Optimize for people more likely to click in the link of the ad. OFFER_CLAIMS: Optimize for people more likely to claim the offer.OFFSITE_CONVERSION: Optimize for people more likely to make a  conversion in the site PAGE_LIKES: Optimize for people more likely to like your page. PAGE_ENGAGEMENT: Optimize for people more likely to engage with your page. POST_ENGAGEMENT: Optimize for people more likely to engage with your post. REACH: Optimize to reach daily unique users. SOCIAL_IMPRESSIONS: Increase the number of impressions with social context. I.e. with the names of one or more of the user's friends attached to the ad who have already liked the page or installed the app. VIDEO_VIEWS: Optimize for people more likely to watch videos.LEAD_GENERATION: Optimize for people more likely to fill out a lead generation form.,,
Ad Set,Reading,billing_event,BillingEvent,The billing event that this adset is using:APP_INSTALLS: Pay when people install your app.CLICKS: Pay when people click anywhere in the ad. IMPRESSIONS: Pay when the ads are shown to people.LINK_CLICKS: Pay when people click on the link of the ad.OFFER_CLAIMS: Pay when people claim the offer.PAGE_LIKES: Pay when people like your page.POST_ENGAGEMENT: Pay when people engage with your post.VIDEO_VIEWS: Pay when people watch videos.,,
Ad Set,Reading,bid_amount,integer,"Bid amount for this ad set,,,
Ad Set,Reading,adlabels,list&lt,AdLabel&gt,Ad Labels associated with this ad set,
Ad Set,Creating,promoted_object,Object,""The object this ad set is promoting across all its ads.
       Required with certain campaign objectives.CONVERSIONS
       pixel_id (Conversion pixel ID)
       pixel_id (Facebook pixel ID) and custom_event_type
       pixel_id (Facebook pixel ID) and pixel_rule and custom_event_type
       PAGE_LIKESpage_idOFFER_CLAIMSoffer_idMOBILE_APP_INSTALLSapplication_id and object_store_urlMOBILE_APP_ENGAGEMENTapplication_id and object_store_url
       or application_id, object_store_url, and custom_event_type
       if the optimization_goal is OFFSITE_CONVERSIONSCANVAS_APP_INSTALLS or CANVAS_APP_ENGAGEMENTapplication_id and object_store_urlPRODUCT_CATALOG_SALESproduct_set_id, 
       or product_set_id and custom_event_type",,
Ad Set,Creating,execution_options,list<ExecOption>, the API call will not perform the mutation but will run through the validation rules against values of each field. If the call passes validation or review," response will be {""""success"""": true}. If the call does not pass", an error will be returned with more details. These options can be used to improve any UI to display errors to the user much sooner
